Question,Option,IsCorrect,Explanation
What is the primary advantage of using spline regression over high-degree polynomial regression?,It provides flexibility without extreme oscillation,TRUE, Spline regression fits low-degree polynomials locally avoiding high-frequency oscillations seen in high-degree polynomials
What is the primary advantage of using spline regression over high-degree polynomial regression?,It guarantees zero training error,FALSE, Spline regression aims for smooth generalization not perfect fit to training data
What is the primary advantage of using spline regression over high-degree polynomial regression?,It requires no parameter tuning or model selection,FALSE, You still need to choose the number and position of knots and sometimes regularization strength
What is the primary advantage of using spline regression over high-degree polynomial regression?,It fits a single global polynomial across all data,FALSE, That describes high-degree polynomial regression not splines
In spline regression... what is the purpose of a knot?,To mark where a new polynomial piece begins,TRUE, Knots define the points where one polynomial segment ends and another begins allowing localized flexibility
In spline regression... what is the purpose of a knot?,To set the degree of the entire spline,FALSE, The spline degree is predefined and not determined by the knot
In spline regression... what is the purpose of a knot?,To regularize the model using L1 penalty,FALSE, Regularization is separate from knot placement and usually applies to coefficient shrinkage
In spline regression... what is the purpose of a knot?,To enforce symmetry in the fitted function,FALSE, Knots have no role in enforcing symmetry they divide the domain for piecewise fitting
Why do high-degree polynomial models tend to overfit?,Because they have too much flexibility and fit noise in the data,TRUE, High-degree polynomials can follow fluctuations in the training data including random noise
Why do high-degree polynomial models tend to overfit?,Because they use too few features,FALSE, Overfitting occurs when the model is too flexible not because of too few features
Why do high-degree polynomial models tend to overfit?,Because they are regularized by default,FALSE, Regularization reduces overfitting and is not automatically applied in polynomial regression
Why do high-degree polynomial models tend to overfit?,Because they enforce continuity at knots,FALSE, Continuity at knots is a property of splines not high-degree polynomials
What does the term (𝑥−𝑘)+𝑑 represent in spline regression?,A truncated power basis function activated after the knot,TRUE, This term equals zero for x less than k and behaves like a polynomial of degree d after the knot
What does the term (𝑥−𝑘)+𝑑 represent in spline regression?,A regularization penalty for large coefficients,FALSE, Regularization is handled separately and not defined by basis function terms
What does the term (𝑥−𝑘)+𝑑 represent in spline regression?,A transformation that centers the variable around zero,FALSE, It’s not a centering transformation it defines piecewise behavior after a knot
What does the term (𝑥−𝑘)+𝑑 represent in spline regression?,A global polynomial used before the first knot,FALSE, The truncated term only applies after its knot not before it
What is the structure of the design matrix in polynomial regression of degree 𝑑?,It contains columns for 1 x x² up to xᵈ,TRUE, The design matrix includes one column for each power of x from 0 to d
What is the structure of the design matrix in polynomial regression of degree 𝑑?,It includes only the intercept and linear term,FALSE, That would be simple linear regression not polynomial
What is the structure of the design matrix in polynomial regression of degree 𝑑?,It contains rows for each knot and their derivatives,FALSE, That describes spline regression not polynomial regression
What is the structure of the design matrix in polynomial regression of degree 𝑑?,It stores error terms for every observation,FALSE, The design matrix contains input features not residuals or errors
Which of the following is a typical drawback of high-degree polynomial regression?,It can produce highly oscillatory curves between data points,TRUE, High-degree polynomials often create large fluctuations especially near the boundaries of the data
Which of the following is a typical drawback of high-degree polynomial regression?,It guarantees perfect generalization to unseen data,FALSE, Overfitting to training data usually hurts generalization performance
Which of the following is a typical drawback of high-degree polynomial regression?,It removes the need for cross-validation,FALSE, Cross-validation is still essential to evaluate generalization and avoid overfitting
Which of the following is a typical drawback of high-degree polynomial regression?,It ensures uniform error across the domain,FALSE, Errors can vary widely especially near the edges due to polynomial instability
How does the truncated power basis contribute to a spline model?,It adds localized flexibility after each knot,TRUE, Truncated power terms activate only after their corresponding knot allowing the model to adapt locally
How does the truncated power basis contribute to a spline model?,It normalizes all input variables,FALSE, Truncated power basis does not perform normalization it defines piecewise polynomial behavior
How does the truncated power basis contribute to a spline model?,It reduces the number of knots needed,FALSE, The number of knots is defined independently of the basis type used
How does the truncated power basis contribute to a spline model?,It forces the model to be linear,FALSE, Splines can be of any polynomial degree including cubic so they are not limited to linear behavior
Which condition must be satisfied at the knots to ensure a smooth spline?,The function and its derivatives must be continuous,TRUE, Smooth splines require continuity not only in the function itself but also in its first and second derivatives
Which condition must be satisfied at the knots to ensure a smooth spline?,The residuals must be minimized at the knots,FALSE, Residual minimization happens globally not specifically at the knots
Which condition must be satisfied at the knots to ensure a smooth spline?,The values before and after the knot must be equal to zero,FALSE, The function values do not need to be zero they must just match smoothly
Which condition must be satisfied at the knots to ensure a smooth spline?,The knots must be placed at regular intervals,FALSE, Knot placement can be irregular and does not determine smoothness on its own
What is the number of basis functions in a spline model of degree 𝑑 with 𝑙 knots?,It is d plus l plus 1,TRUE, The basis includes d plus 1 polynomial terms and one truncated power term for each of the l knots
What is the number of basis functions in a spline model of degree 𝑑 with 𝑙 knots?,It is equal to the number of data points,FALSE, The number of basis functions depends on the model configuration not the number of samples
What is the number of basis functions in a spline model of degree 𝑑 with 𝑙 knots?,It is always fixed at 3,FALSE, The number of basis functions varies with the spline degree and number of knots
